Backend_Time,ESP_Time,experimentName,comment,programStatus,airPumpStatus,drainPumpStatus,nutrientPumpStatus,basePumpStatus,stirringMotorStatus,heatingPlateStatus,ledGrowLightStatus,waterTemp,airTemp,ph,turbidity,oxygen,airFlow
2024-06-07 09:02:34,07:02:33,None,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-06-07 09:02:59,07:02:59,None,,,0,0,0,0,0,0,0,23.7,-1000.0,11.82,4.37,0.0,-1.0
2024-06-07 09:04:17,07:04:16,None,,,0,0,0,0,0,0,0,23.84,-1000.0,11.74,4.38,0.0,-1.0
2024-06-07 09:16:38,07:16:37,None,,,0,0,0,0,0,0,0,23.77,-1000,12.18,4.39,0,-1
2024-06-07 09:16:38,07:16:37,None,,,0,0,0,0,0,0,0,23.81,-1000,12.07,4.39,0,-1
2024-06-07 09:16:38,07:16:37,None,,,0,0,0,0,0,0,0,23.77,-1000,11.6,4.39,22,-1
2024-06-07 09:16:38,07:16:37,None,,,0,0,0,0,0,0,0,23.91,-1000,11.05,4.39,0,-1
2024-06-07 09:16:38,07:16:37,None,,,0,0,0,0,0,0,0,23.87,-1000,12.18,4.39,0,-1
2024-06-07 09:16:38,07:16:38,None,,,0,0,0,0,0,0,0,23.87,-1000,11.27,4.38,0,0
2024-06-07 09:16:39,07:16:38,None,,,0,0,0,0,0,0,0,23.87,-1000,11.24,4.39,0,-1
2024-06-07 09:16:39,07:16:38,None,,,0,0,0,0,0,0,0,23.81,-1000,12.18,4.39,0,-1
2024-06-07 09:16:39,07:16:38,None,,,0,0,0,0,0,0,0,23.84,-1000,11.19,4.39,0,-1
2024-06-07 09:16:39,07:16:38,None,,,0,0,0,0,0,0,0,23.84,-1000,11.49,4.39,0,-1
2024-06-07 09:16:39,07:16:39,None,,,0,0,0,0,0,0,0,23.91,-1000,12.1,4.39,0,0
2024-06-07 09:16:40,07:16:39,None,,,0,0,0,0,0,0,0,23.81,-1000,10.97,4.38,0,-1
2024-06-07 09:16:40,07:16:39,None,,,0,0,0,0,0,0,0,23.84,-1000,11.71,4.39,77,-1
2024-06-07 09:16:40,07:16:39,None,,,0,0,0,0,0,0,0,23.81,-1000,11.9,4.39,0,-1
2024-06-07 09:16:40,07:16:39,None,,,0,0,0,0,0,0,0,23.84,-1000,10.91,4.39,0,-1
2024-06-07 09:16:40,07:16:40,None,,,0,0,0,0,0,0,0,23.74,-1000,11.99,4.39,0,0
2024-06-07 09:16:41,07:16:40,None,,,0,0,0,0,0,0,0,23.87,-1000,11.68,4.39,0,-1
2024-06-07 09:16:41,07:16:40,None,,,0,0,0,0,0,0,0,23.84,-1000,10.97,4.39,0,-1
2024-06-07 09:16:41,07:16:40,None,,,0,0,0,0,0,0,0,23.87,-1000,12.12,4.39,0,-1
2024-06-07 09:16:41,07:16:40,None,,,0,0,0,0,0,0,0,23.84,-1000,11.43,4.38,0,-1
2024-06-07 09:16:42,07:16:41,None,,,0,0,0,0,0,0,0,23.91,-1000,11.13,4.39,0,0
2024-06-07 09:16:42,07:16:41,None,,,0,0,0,0,0,0,0,23.91,-1000,12.18,4.39,0,-1
2024-06-07 09:16:42,07:16:41,None,,,0,0,0,0,0,0,0,23.81,-1000,11.19,4.38,50,-1
2024-06-07 09:16:42,07:16:41,None,,,0,0,0,0,0,0,0,23.81,-1000,11.35,4.39,0,-1
2024-06-07 09:16:42,07:16:41,None,,,0,0,0,0,0,0,0,23.87,-1000,12.15,4.39,0,-1
2024-06-07 09:16:43,07:16:42,None,,,0,0,0,0,0,0,0,23.87,-1000,10.99,4.39,0,0
2024-06-07 09:16:43,07:16:42,None,,,0,0,0,0,0,0,0,23.84,-1000,11.6,4.39,0,-1
2024-06-07 09:16:43,07:16:42,None,,,0,0,0,0,0,0,0,23.81,-1000,12.01,4.39,0,-1
2024-06-07 09:16:43,07:16:42,None,,,0,0,0,0,0,0,0,23.84,-1000,10.91,4.39,0,-1
